date,action,ticker,wave_bucket,rationale,news_evidence_urls
2022-03-31,add,XLE,geopolitical,"The profile names 'geopolitical realignment driving energy prices' as an active non-tech wave to watch; Russia's Feb 24 invasion of Ukraine is the in-window trigger that turned this from a watch into a position, and the watchlist currently has zero direct fossil-energy exposure (URA captures only the uranium-via-Rosatom-sanctions leg). XLE is the cleanest, most liquid US-listed proxy: the Energy Select Sector SPDR ETF (launched 1998, ~$1B+ ADV) is market-cap-weighted into XOM and CVX (>40% combined), so one slot at cap=5 buys the integrated-oil-major reflex to $100+ Brent and the Biden Mar 8 executive order banning Russian oil/gas/coal imports. Not in profile exclusions (only solar/wind are excluded).",https://www.eia.gov/todayinenergy/detail.php?id=55020;https://www.powermag.com/pressure-on-u-s-nuclear-power-could-mount-if-sanctions-imposed-on-russian-uranium/;https://oilprice.com/Latest-Energy-News/World-News/Exxon-Mobil-Signals-29B-Q1-Earnings-Bump-On-Higher-Oil-Prices.html
2022-03-31,remove,MSFT,,"At cap=5 the geopolitical-energy slot can only be opened by removing one current name, and MSFT is the lowest-conviction holding relative to its thesis. The profile says ride AI but trim before crest, and at cap=5 the watchlist does not need two mega-cap AI anchors — NVDA is the more concentrated AI-compute pure-play (every hyperscaler's training cluster is its silicon), while MSFT's Q1-2022 narrative is dominated by the Jan 18 announcement of a $68.7B all-cash deal to acquire Activision Blizzard, a gaming-consolidation story carrying material FTC/CMA regulatory risk and a multi-year close window — not an AI catalyst. Keeping NVDA preserves the AI anchor; rotating MSFT into XLE adds the live geopolitical-energy wave the profile names verbatim. URA, RKLB, IONQ stay — each is the sole watchlist representative of a profile-named next wave (nuclear, rockets, quantum) with a fresh in-window catalyst (uranium Mar 10 spike to $60+/lb on Rosatom sanction fears; Neutron Wallops/MARS site announcement Feb 28; IONQ Forte ytterbium-system roadmap).",https://www.sec.gov/Archives/edgar/data/0000718877/000162828022010059/atvi33122ex991prtables.htm;n/a
2022-09-30,remove,IONQ,,"IONQ is the lowest-conviction holding in the 90d lookback. Quantum remains the most distant of the named tech waves with no commercial-revenue catalyst in Q3 2022; IONQ posted a Q2 2022 (Aug 15) report with revenue still in the single-digit millions and a widening net loss. With the broader risk-off environment (Fed hiked 75bp on 2022-09-21, third consecutive 75bp move) hammering long-duration unprofitable tech the hardest, IONQ is the holding most exposed to multiple compression and the one I'd cycle out of to make room for a dated-catalyst non-tech name. Quantum thesis is paused, not abandoned, and IONQ can be re-added later when a commercial milestone lands.",
2023-06-30,add,BOTZ,robotics,"Opens an explicit robotics-wave slot named in the profile thesis; BOTZ provides diversified exposure to industrial robotics, automation, and AI-adjacent names that complement single-stock NVDA without doubling the AI bucket.",https://www.sec.gov/Archives/edgar/data/0001432353/000143235323000407/a497kroboticsartificialint.htm;https://www.globalxetfs.com/funds/botz
2023-06-30,remove,XLE,,"Energy bucket is overweighted (XLE + LNG + URA = 3 of 5 slots); XLE overlaps LNG inside the geopolitical-energy thesis while crude has pulled back sharply (Brent fell ~$16 to ~$73/b between mid-April and early May 2023), eroding the broad-oil tailwind. LNG remains the cleaner Russia-Ukraine LNG-export bet, so dropping XLE frees a slot for the uncovered robotics wave without abandoning the geopolitical-energy thesis.",https://www.eia.gov/todayinenergy/detail.php?id=56560;https://www.lng2023.org/news/cheniere-key-contributor-european-energy-security
2023-09-30,add,IONQ,quantum,"Pure-play quantum-computing exposure at a commercial inflection: IonQ disclosed it had reached its three-year $100M cumulative-bookings target ahead of plan, the only watchlist gap against the profile's named next-waves (rockets covered by RKLB, nuclear by URA, robotics by BOTZ, AI by NVDA).",https://www.insidequantumtechnology.com/news-archive/ionq-hits-100-million-in-bookings-rigetti-revenue-grows-as-commercial-quantum-market-revs-up/;https://www.datacenterdynamics.com/en/news/quantum-computing-q3-2023-results-ionq-rigetti-d-wave/
2023-09-30,remove,BOTZ,,"At a 5-name watchlist cap, a broad robotics ETF is the weakest slot to hold: the robotics wave is still slow-buildup, BOTZ's top holdings overlap NVDA exposure already in the list, and freeing the slot lets a pure-play next-wave name (quantum) enter without violating the cap.",https://www.globalxetfs.com/funds/botz/
2024-03-31,add,BOTZ,robotics,Robotics is named in the profile as a next wave and Q1-2024 has the first commercial-grade catalysts: Figure AI's $675M raise from MSFT/NVDA/Bezos/OpenAI (Feb 29) and NVIDIA GTC's Project GR00T/Isaac humanoid platform (Mar 18) put the buildup phase on the clock.,https://www.bloomberg.com/news/articles/2024-02-29/figure-ai-startup-raises-675-million-from-bezos-openai-microsoft;https://www.reuters.com/technology/nvidia-unveils-project-groot-humanoid-robots-2024-03-18/;https://www.globalxetfs.com/funds/botz/
2024-03-31,remove,IONQ,,"Quantum stays in the profile but at cap=5 it must yield to a more commercially mature wave; IONQ remains pre-revenue with no near-term inflection, while robotics has named hyperscaler money flowing this quarter.",https://investors.ionq.com/news/news-details/2024/IonQ-Announces-Fourth-Quarter-and-Fiscal-Year-2023-Financial-Results/default.aspx;https://www.barrons.com/articles/quantum-computing-stocks-ionq-rigetti-pullback-2024
2025-06-30,add,IONQ,quantum,"Fills the long-open quantum gap with a concrete commercial milestone: IonQ announced a $1.075B definitive agreement to acquire Oxford Ionics on June 9, 2025, consolidating trapped-ion fidelity records and accelerating its hardware roadmap, while Q1 2025 revenue had already beat guidance.",https://www.hpcwire.com/off-the-wire/ionq-to-acquire-oxford-ionics-in-1-075b-deal/;https://www.sec.gov/Archives/edgar/data/0001824920/000119312525205489/d41803dex991.htm
2025-06-30,remove,BOTZ,,"At cap=5, BOTZ is the weakest holding to free a slot: it is a broad robotics/AI ETF with material NVDA overlap (already expressed directly via NVDA), and no concrete Q2 2025 robotics catalyst surfaced inside the lookback to justify keeping it over a pure-play quantum entry that the profile explicitly flags as a named next wave.",https://www.globalxetfs.com/funds/botz
